-------------------------------------------------------------------------------------------,,,,,,,,
 Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                ,,,,,,,,
" at Mauna Loa, Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m      ",,,,,,,,
                                                                                           ,,,,,,,,
" Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   ",,,,,,,,
 Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        ,,,,,,,,
 Scripps Institution of Oceanography (SIO)                                                 ,,,,,,,,
 University of California                                                                  ,,,,,,,,
" La Jolla, California USA 92093-0244                                                       ",,,,,,,,
                                                                                           ,,,,,,,,
 Status of data and correspondence:                                                        ,,,,,,,,
                                                                                           ,,,,,,,,
 These data are subject to revision based on recalibration of standard gases. Questions    ,,,,,,,,
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker",,,,,,,,
" (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            ",,,,,,,,
                                                                                           ,,,,,,,,
 Baseline data in this file through 06-May-2017 from archive dated 06-May-2017 19:57:06    ,,,,,,,,
                                                                                           ,,,,,,,,
-------------------------------------------------------------------------------------------,,,,,,,,
                                                                                           ,,,,,,,,
 Please cite as:                                                                           ,,,,,,,,
                                                                                           ,,,,,,,,
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       ",,,,,,,,
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   ",,,,,,,,
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    ",,,,,,,,
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   ",,,,,,,,
                                                                                           ,,,,,,,,
" If it is necessary to cite a peer-reviewed article, please cite as:                       ",,,,,,,,
                                                                                           ,,,,,,,,
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       ",,,,,,,,
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       ",,,,,,,,
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       ",,,,,,,,
 in A History of Atmospheric CO2 and its effects on Plants, Animals," and Ecosystems""","     """,,,,,
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 ",,,,,,,,
" New York, 2005.                                                                           ",,,,,,,,
                                                                                           ,,,,,,,,
-------------------------------------------------------------------------------------------,,,,,,,,
                                                                                           ,,,,,,,,
 The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant ,,,,,,,,
 formats. Column 5 below gives monthly Mauna Loa CO2 concentrations in micro-mol CO2 per   ,,,,,,,,
" mole (ppm), reported on the 2008A SIO manometric mole fraction scale.  This is the        ",,,,,,,,
 standard version of the data most often sought.  The monthly values have been adjusted    ,,,,,,,,
 to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  ,,,,,,,,
 adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           ,,,,,,,,
 subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      ,,,,,,,,
 smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic ,,,,,,,,
 functions with linear gain.  Column 8 is the same smoothed version with the seasonal      ,,,,,,,,
 cycle removed.  Column 9 is identical to Column 5 except that the missing values from     ,,,,,,,,
 Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  ,,,,,,,,
 except missing values have been filled with values from Column 8.  Missing values are     ,,,,,,,,
 denoted by -99.99                                                                         ,,,,,,,,
                                                                                           ,,,,,,,,
 CO2 concentrations are measured on the '08A' calibration scale                            ,,,,,,,,
                                                                                           ,,,,,,,,
year,month,date [decimal],CO2 [ppm],seasonally adjusted [ppm],fit [ppm],seasonally adjusted fit [ppm],C02 filled [ppm],seasonally adjusted filled [ppm]
1965,1,1965.0411,319.44,319.42,319.71,319.68,319.44,319.42
1965,2,1965.126,320.44,319.82,320.35,319.72,320.44,319.82
1965,3,1965.2027,320.89,319.58,321.08,319.76,320.89,319.58
1965,4,1965.2877,322.14,319.77,322.2,319.82,322.14,319.77
1965,5,1965.3699,322.17,319.31,322.75,319.9,322.17,319.31
1965,6,1965.4548,321.87,319.71,322.13,319.99,321.87,319.71
1965,7,1965.537,321.21,320.5,320.77,320.09,321.21,320.5
1965,8,1965.6219,318.87,320.14,318.9,320.2,318.87,320.14
1965,9,1965.7068,317.82,320.75,317.37,320.32,317.82,320.75
1965,10,1965.789,317.3,320.35,317.39,320.43,317.3,320.35
1965,11,1965.874,318.87,320.79,318.65,320.55,318.87,320.79
1965,12,1965.9562,319.42,320.21,319.88,320.66,319.42,320.21
1966,1,1966.0411,320.62,320.6,320.82,320.78,320.62,320.6
1966,2,1966.126,321.59,320.97,321.54,320.9,321.59,320.97
1966,3,1966.2027,322.39,321.08,322.34,321.01,322.39,321.08
1966,4,1966.2877,323.7,321.33,323.51,321.12,323.7,321.33
1966,5,1966.3699,324.08,321.22,324.08,321.23,324.08,321.22
1966,6,1966.4548,323.75,321.58,323.47,321.32,323.75,321.58
1966,7,1966.537,322.39,321.68,322.09,321.4,322.39,321.68
1966,8,1966.6219,320.36,321.64,320.17,321.48,320.36,321.64
1966,9,1966.7068,318.64,321.58,318.59,321.55,318.64,321.58
1966,10,1966.789,318.1,321.16,318.57,321.62,318.1,321.16
1966,11,1966.874,319.79,321.71,319.77,321.68,319.79,321.71
1966,12,1966.9562,321.03,321.82,320.96,321.74,321.03,321.82
1967,1,1967.0411,322.33,322.3,321.83,321.8,322.33,322.3
1967,2,1967.126,322.5,321.87,322.49,321.85,322.5,321.87
1967,3,1967.2027,323.04,321.72,323.23,321.9,323.04,321.72
1967,4,1967.2877,324.42,322.04,324.35,321.96,324.42,322.04
1967,5,1967.3699,325,322.13,324.88,322.01,325,322.13
1967,6,1967.4548,324.09,321.92,324.23,322.07,324.09,321.92
1967,7,1967.537,322.55,321.83,322.81,322.13,322.55,321.83
1967,8,1967.6219,320.92,322.2,320.88,322.2,320.92,322.2
1967,9,1967.7068,319.25,322.21,319.3,322.27,319.25,322.21
1967,10,1967.789,319.39,322.46,319.28,322.34,319.39,322.46
1967,11,1967.874,320.72,322.66,320.5,322.42,320.72,322.66
1967,12,1967.9562,321.96,322.76,321.71,322.49,321.96,322.76
1968,1,1968.041,322.57,322.55,322.6,322.57,322.57,322.55
1968,2,1968.1257,323.14,322.52,323.28,322.65,323.14,322.52
1968,3,1968.2049,323.89,322.54,324.09,322.73,323.89,322.54
1968,4,1968.2896,325.02,322.61,325.25,322.82,325.02,322.61
1968,5,1968.3716,325.57,322.69,325.8,322.92,325.57,322.69
1968,6,1968.4563,325.36,323.19,325.17,323.03,325.36,323.19
1968,7,1968.5383,324.14,323.45,323.79,323.13,324.14,323.45
1968,8,1968.623,322.11,323.42,321.9,323.25,322.11,323.42
1968,9,1968.7077,320.33,323.31,320.37,323.36,320.33,323.31
1968,10,1968.7896,320.25,323.32,320.42,323.48,320.25,323.32
1968,11,1968.8743,321.32,323.26,321.69,323.61,321.32,323.26
1968,12,1968.9563,322.89,323.69,322.96,323.74,322.89,323.69
